X	Y
0978.3605400000	0260.8489000000
0643.5126750000	0307.3294250000
0723.5417333333	0321.4261000000
0605.4281000000	0493.3181000000
0466.2231647059	0508.4864000000
1095.9133333333	0628.5522000000
0349.7613000000	0563.5780000000
1011.8216000000	0469.8400923077
0919.8726714286	0615.4827000000
0763.5463500000	0906.7710000000
1316.9845000000	0541.1976500000
0693.1950000000	0447.5262000000
1001.3715333333	0782.8752333333
0059.6517500000	0441.5844000000
1428.5637777778	0486.7911555556
0809.7662500000	0635.1303000000
1305.9673846154	0832.8499846154
0894.8341000000	0972.0846666667
1551.2635000000	0724.0741000000
0827.0602000000	0825.4313500000
0466.3343000000	0904.7582500000
0755.7064500000	0468.6155000000
0182.1522142857	0516.9587428571
0759.1551666667	0730.6406666667
1066.4367500000	0915.4564750000
0523.8361000000	0716.9431000000
0643.2525333333	0825.6475333333
0439.9344000000	0781.6780000000
0243.6459000000	0458.8107000000
0117.1864000000	0643.4708000000
0392.0543000000	0750.3715000000
1127.4750000000	1048.5290000000
0576.9910000000	0588.3448000000
1183.8400000000	1008.8670000000
1405.0720000000	0715.5698000000
1479.0470000000	1058.0320000000
1450.2520000000	0778.4341000000
0816.2764000000	0072.3950100000
0116.8219000000	0416.3478000000
0108.8938000000	0322.5723000000
1187.4940000000	0598.3379000000
0680.6375000000	0608.0668000000
1065.1050000000	0685.6701000000
0084.5591200000	0733.4805000000
1549.5220000000	0466.7929000000
1480.9230000000	0656.8574000000
0651.2057000000	0687.2019000000
1039.4900000000	0375.7191000000
1065.5540000000	0804.9630000000
1392.1210000000	0624.6188000000
0086.9174800000	0218.9452000000
0941.1286000000	0891.3395000000
0675.3812000000	0366.9444000000
1134.1900000000	0986.7465000000
0696.0266000000	0051.0912100000
0165.1731000000	0382.8064000000
1223.0640000000	0469.9260000000
0816.4234000000	0237.5705000000
0356.1571000000	0424.3444000000
0687.7889000000	0524.9461000000
1208.9830000000	0705.8337000000
1262.5690000000	0513.5199000000
1079.2610000000	0985.6181000000
0293.8651000000	0690.5264000000
0791.1688000000	0418.0142000000
